"id","profileName","text","date","title","rating","images","helpful"
"R3E01IAHXB7ICG","Aarusha","The book arrived in perfect and condition and looks amazing. The print is very readable. Definitely a good buy considering the price for a hardcover edition.","Reviewed in India 🇮🇳 on 3 September 2021","Delivered on time and is in good condition",5,"https://m.media-amazon.com/images/I/C1n2SFmNsrS.jpg",1
"R1USH4LCD1OG7N","Amazon Customer","I love ittttt....","Reviewed in India 🇮🇳 on 15 November 2021","Excellent book and cheap too😋",5,"",0
"R5ZNQ1H53COI9","Rakhi Shaw","Amazing amazing amazing amazing excellent excellent excellent excellent","Reviewed in India 🇮🇳 on 24 September 2021","Worth for money excellent book must buy",5,"",0
"R1GUKRT4B356WV","NIKHIL","A must read collection of short stories","Reviewed in India 🇮🇳 on 17 September 2021","Awesome",5,"",0
"RP6ZI520IU6GT","Sayanti","It is not a bridged version(thank God).","Reviewed in India 🇮🇳 on 9 September 2021","Worth buying",5,"","2"
"R1Y1RNLTQ51UVG","arief","Nice book. Open a dictionary while reading. Words are very uncommon. But stories are nice.","Reviewed in India 🇮🇳 on 27 May 2021","Good book",5,"",1
"R1ZQUTNESIY9W2","debleena","Very good book.","Reviewed in India 🇮🇳 on 13 April 2021","Very nice",5,"https://images-na.ssl-images-amazon.com/images/I/C1DGjmZqtuS.jpg","5"
"RAK9ENHWDGNMS","Saikat Das","Nice book,  this book consists of 53 short stories.But it doesn't have two renowned stories, 'The ransom of red chief' and 'A retrieved Reformation'.","Reviewed in India 🇮🇳 on 7 July 2019","Good book but.........",4,"",1
"R32LJN09Z7I5H8","Rugved Pokharkar","Very nice book good stories but difficult to understand the words","Reviewed in India 🇮🇳 on 4 November 2018","Good book",5,"",0
"R2D1QHRRSGIQY2","Willy H","I like the book but I do not like the inexpensive binding. It has no heft and seems far too light for a 600 page volume. Would I buy it again? Yes. The price was right. For $22 I guess one should not expect a leather bound library quality piece.","Reviewed in the United States 🇺🇸 on 15 February 2022","Good looking book",3,"","3"
"R78G0LPBWE0MV","J. Gatsby","A terrible book, there is nothing deluxe about this hardcover. The book is very lightweight for 600 pages, understandably so as the materials used are very cheap and flimsy. The pages are thin enough to be nearly translucent, the words on one side of the page can be seen on the other and the pages often stick together and hardly at all lay flat, the ends tending to curve upwards.A very disappointing purchase that I quickly returned.","Reviewed in the United States 🇺🇸 on 17 September 2022","Cheap Binding and Thin Pages",1,"",0
"R5PSHBZ45D2PY","Iris Tapley","The stories in this book are a bit of a challenge because the language is from the early 1900's. The stories are great. Everyone must read ""The Ransom of the Red Chief"".  Of course, some of the stories are better than others but the book is a beauty to have in one's collection.","Reviewed in the United States 🇺🇸 on 9 June 2021","Beautiful looking book",5,"","3"
"R3BG9WZ958AD9M","Doug","Only good if have alot of imaginative thoughts . Has really bad news not worth looking into only if your english major .","Reviewed in the United States 🇺🇸 on 21 April 2022","Bad book",1,"",0
